xmlid,xmleventtypeid,xmlticker,xmleventdate,xmlfakeqtr,xmlcity,xmlcompanyname,xmlymd,xmlcalldate,gvkey,datadate,tic,cusip,conm,rdq,exchg,fic,no_of_days
12281589,1,SNI.OL,4-Apr-19,Q1 2019,Oslo,Stolt-Nielsen Ltd,20190404,4-Apr-19,,,,,,,,,
12281574,1,SNI.OL,31-Jan-19,Q4 2018,Oslo,Stolt-Nielsen Ltd,20190131,31-Jan-19,,,,,,,,,
12425754,1,SNN.L,22-Mar-19,Full Ye,St Helier,Sanne Group PLC,20190322,22-Mar-19,,,,,,,,,
12250651,7,SNNA.OQ,9-Jan-19,Sienna,San Francisco,Sienna Biopharmaceuticals,20190109,9-Jan-19,,,,,,,,,
12328891,7,SNPS,27-Feb-19,Synopsy,San Francisco,Synopsys Inc,20190227,27-Feb-19,24975,20190131,SNPS,871607107,SYNOPSYS INC,20190220,14,USA,-7
12301294,1,SNPS,20-Feb-19,Q1 2019,MOUNTAIN VIEW,Synopsys Inc,20190220,20-Feb-19,24975,20190131,SNPS,871607107,SYNOPSYS INC,20190220,14,USA,0
12328896,7,SNPS,26-Feb-19,Synopsy,San Francisco,Synopsys Inc,20190226,26-Feb-19,24975,20190131,SNPS,871607107,SYNOPSYS INC,20190220,14,USA,-6
12231420,7,SNPS,15-Jan-19,Synopsy,New York,Synopsys Inc,20190115,15-Jan-19,24975,20181031,SNPS,871607107,SYNOPSYS INC,20181205,14,USA,-41
12426475,31,SNPS,2-Apr-19,Synopsy,New York,Synopsys Inc,20190402,2-Apr-19,,,,,,,,,
12317471,1,SNR,22-Feb-19,Q4 2018,New York,New Senior Investment Grou,20190222,22-Feb-19,22025,20181231,SNR,648691103,NEW SENIOR INVESTMENT GROUP,20190222,11,USA,0
12353128,1,SNR.L,4-Mar-19,Full Ye,Hertfordshire,Senior PLC,20190304,4-Mar-19,,,,,,,,,
12455677,1,SNS.V,18-Apr-19,Full Ye,VANCOUVER,Select Sands Corp,20190418,18-Apr-19,,,,,,,,,
12359459,1,SNSS,7-Mar-19,Q4 2018,SOUTH SAN FRA,Sunesis Pharmaceuticals In,20190307,7-Mar-19,162585,20181231,SNSS,867328700,SUNESIS PHARMACEUTICALS INC,20190307,14,USA,0
12386183,7,SNSS,19-Mar-19,Sunesis,New York,Sunesis Pharmaceuticals In,20190319,19-Mar-19,162585,20181231,SNSS,867328700,SUNESIS PHARMACEUTICALS INC,20190307,14,USA,-12
12441604,1,SNV,23-Apr-19,Q1 2019,COLUMBUS,Synovus Financial Corp,20190423,23-Apr-19,13041,20190331,SNV,87161C501,SYNOVUS FINANCIAL CORP,20190423,11,USA,0
12414559,11,SNV,24-Apr-19,Synovus,COLUMBUS,Synovus Financial Corp,20190424,24-Apr-19,13041,20190331,SNV,87161C501,SYNOVUS FINANCIAL CORP,20190423,11,USA,-1
12238993,1,SNV,15-Jan-19,Q4 2018,COLUMBUS,Synovus Financial Corp,20190115,15-Jan-19,13041,20181231,SNV,87161C501,SYNOVUS FINANCIAL CORP,20190115,11,USA,0
12357124,7,SNV,4-Mar-19,Synovus,Orlando,Synovus Financial Corp,20190304,4-Mar-19,,,,,,,,,
12417219,1,SNX,27-Mar-19,Q1 2019,Fremont,SYNNEX Corp,20190327,27-Mar-19,156155,20190228,SNX,87162W100,SYNNEX CORP,20190327,11,USA,0
12239364,1,SNX,10-Jan-19,Q4 2018,Fremont,SYNNEX Corp,20190110,10-Jan-19,156155,20181130,SNX,87162W100,SYNNEX CORP,20190110,11,USA,0
12231113,7,SNX,15-Jan-19,SYNNEX,New York,SYNNEX Corp,20190115,15-Jan-19,156155,20181130,SNX,87162W100,SYNNEX CORP,20190110,11,USA,-5
12299794,1,SO,20-Feb-19,Q4 2018,Atlanta,Southern Co,20190220,20-Feb-19,9850,20181231,SO,842587107,SOUTHERN CO,20190220,11,USA,0
12349603,1,SO.MI,25-Feb-19,Full Ye,MANTOVA,Sogefi SpA,20190225,25-Feb-19,,,,,,,,,
12296781,1,SOBHA.NSE,6-Feb-19,Q3 2019,"Bangalore, Ka",Sobha Ltd,20190206,6-Feb-19,,,,,,,,,
12317305,1,SOBI.ST,20-Feb-19,Q4 2018,Stockholm,Swedish Orphan Biovitrum A,20190220,20-Feb-19,,,,,,,,,
12287275,1,SOGO.N,1-Feb-19,Q4 2018,NAN,Sogou Inc,20190201,1-Feb-19,,,,,,,,,
12276739,1,SOHO,26-Feb-19,Q4 2018,WILLIAMSBURG,Sotherly Hotels Inc,20190226,26-Feb-19,161852,20181231,SOHO,83600C103,SOTHERLY HOTELS INC,20190226,14,USA,0
12287270,1,SOHU.OQ,1-Feb-19,Q4 2018,NAN,Sohu.com Ltd,20190201,1-Feb-19,,,,,,,,,
12288170,1,SOI.N,28-Feb-19,Q4 2018,HOUSTON,Solaris Oilfield Infrastru,20190228,28-Feb-19,,,,,,,,,
12415782,1,SOL,8-Apr-19,Q4 2018,"Jiashan,  Zhe",ReneSola Ltd,20190408,8-Apr-19,279431,20181231,SOL,75971T301,RENESOLA LTD,20190408,11,VGB,0
12300562,1,SOL.J,25-Feb-19,Q2 2019,Johannesburg,Sasol Ltd,20190225,25-Feb-19,,,,,,,,,
12298833,1,SOLAR B.C,7-Feb-19,Full Ye,Kolding,Solar A/S,20190207,7-Feb-19,,,,,,,,,
12288635,1,SOLARINDS,31-Jan-19,Q3 2019,Nagpur,Solar Industries India Ltd,20190131,31-Jan-19,,,,,,,,,
12285107,1,SOLB.BR,27-Feb-19,Q4 2018,Brussels,Solvay SA,20190227,27-Feb-19,,,,,,,,,
